cell_id,rainfall_2015,rainfall_2016,rainfall_2017,rainfall_2018,rainfall_2019,rainfall_2020,rainfall_2021,rainfall_2022,rainfall_2023,rainfall_2024,rainfall_mean,rainfall_anomaly
845,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
850,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
855,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
860,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
980,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
985,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
990,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
995,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
1000,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
1005,1088.2,643.4,1090.0,882.2,1010.8,1129.6,1520.8,1175.5,830.4,1160.5,1053.1399999999999,107.36000000000013
1010,1088.2,643.4,1090.0,882.2,1010.8,1129.6,1520.8,1175.5,830.4,1160.5,1053.1399999999999,107.36000000000013
1015,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
1020,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
1025,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
1030,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
1035,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
1040,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
1045,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
1050,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
1055,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
1060,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
1065,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
1070,1222.0,647.0,891.0,752.2,791.5,1037.9,1294.3,1061.3,733.3,1064.5,949.5,115.0
1075,1088.2,643.4,1090.0,882.2,1010.8,1129.6,1520.8,1175.5,830.4,1160.5,1053.1399999999999,107.36000000000013
1080,1179.8,691.4,1090.0,882.2,1010.8,1129.6,1520.8,1175.5,830.4,1160.5,1067.1,93.40000000000009
1085,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
1090,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
1150,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
1155,1179.8,691.4,1125.6,926.2,1044.3,1185.0,1475.7,1252.1,816.7,1190.1,1088.69,101.40999999999985
1160,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
1165,1179.8,691.4,1171.9,1041.7,1077.1,1252.7,1486.3,1331.0,859.9,1192.6,1128.44,64.15999999999985
1170,1179.8,691.4,1177.1,1017.7,998.0,1247.9,1401.7,1264.6,825.9,1143.4,1094.7499999999998,48.65000000000032
1175,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
1180,1236.8,687.8,1012.7,893.8,850.2,1120.3,1306.9,1063.7,694.6,1010.5,987.7299999999999,22.770000000000095
1185,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
1190,1236.8,687.8,947.7,806.9,756.2,1042.2,1227.7,939.4,710.7,983.1,933.85,49.25
1195,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
1200,1236.8,687.8,874.9,765.9,750.4,1027.3,1219.2,932.3,731.3,964.4,919.03,45.370000000000005
1205,1222.0,647.0,891.0,752.2,791.5,1037.9,1294.3,1061.3,733.3,1064.5,949.5,115.0
