cell_id,ndvi_2015,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change
398,0.4497,,,,,,,
399,0.5628,,,,,,,
400,0.5124,,,,,,,
401,0.6893,,,,,,,
402,0.8532,0.4726,0.4143,0.1978,-0.38059999999999994,-0.05830000000000002,-0.2165,-0.6554
403,0.4273,0.1734,0.048,0.0159,-0.2539,-0.1254,-0.032100000000000004,-0.4114
404,0.6878,0.2668,0.7362,0.2061,-0.421,0.4694,-0.5301,-0.48169999999999996
405,0.554,0.2236,0.3969,0.2043,-0.3304,0.17329999999999998,-0.19259999999999997,-0.3497
406,0.7179,0.142,0.2131,0.1755,-0.5759,0.07110000000000002,-0.03760000000000002,-0.5424
407,0.5603,0.1771,0.5387,0.1954,-0.3832,0.3615999999999999,-0.34329999999999994,-0.3649
408,0.7057,0.1175,0.3832,0.191,-0.5882000000000001,0.2657,-0.19219999999999998,-0.5146999999999999
409,0.6146,0.1366,0.6085,0.1777,-0.47800000000000004,0.47190000000000004,-0.43080000000000007,-0.43690000000000007
410,0.7096,0.1912,0.7159,0.2463,-0.5184,0.5246999999999999,-0.4696,-0.46330000000000005
411,0.6119,0.1811,0.3069,0.2615,-0.43079999999999996,0.1258,-0.045399999999999996,-0.3504
412,0.6281,0.0912,0.3364,0.2607,-0.5368999999999999,0.24519999999999997,-0.07569999999999999,-0.3674
413,0.8023,0.1407,0.4042,0.2286,-0.6616,0.2635,-0.1756,-0.5737
414,0.6449,0.2235,0.6662,0.424,-0.4214,0.4427,-0.24220000000000003,-0.22090000000000004
415,0.4528,0.3807,0.7143,0.121,-0.0721,0.33360000000000006,-0.5933,-0.3318
416,0.8487,0.7207,0.7322,0.5495,-0.128,0.011499999999999955,-0.18269999999999997,-0.2992
417,0.5935,,,,,,,
418,0.486,,,,,,,
419,0.5981,,,,,,,
420,0.6944,,,,,,,
421,0.3976,,,,,,,
422,0.725,,,,,,,
423,0.6506,,,,,,,
424,0.605,,,,,,,
425,0.7698,,,,,,,
426,0.7033,,,,,,,
427,0.6435,,,,,,,
428,0.5104,,,,,,,
429,0.6323,,,,,,,
430,0.7493,,,,,,,
431,0.8642,,,,,,,
432,0.7993,,,,,,,
433,0.7415,,,,,,,
434,0.6811,,,,,,,
435,0.4138,,,,,,,
436,0.6329,,,,,,,
437,0.2647,,,,,,,
438,0.7552,,,,,,,
439,0.4553,,,,,,,
440,0.5051,,,,,,,
441,0.2495,,,,,,,
442,0.4791,,,,,,,
443,0.5291,,,,,,,
444,0.4272,,,,,,,
445,0.6334,,,,,,,
446,0.6397,,,,,,,
447,0.5469,,,,,,,
448,0.382,,,,,,,
449,0.5592,,,,,,,
450,0.3573,,,,,,,
451,0.5119,,,,,,,
452,0.759,,,,,,,
453,0.7243,,,,,,,
454,0.6068,,,,,,,
455,0.4256,,,,,,,
456,0.2358,,,,,,,
457,0.4614,,,,,,,
458,0.7317,,,,,,,
459,0.7839,,,,,,,
460,0.4934,,,,,,,
461,0.5137,,,,,,,
462,0.5736,,,,,,,
463,0.3899,,,,,,,
464,0.5537,,,,,,,
465,0.4464,,,,,,,
466,0.6228,,,,,,,
467,0.3173,,,,,,,
468,0.3727,,,,,,,
469,0.6617,0.5361,0.3796,0.1512,-0.12559999999999993,-0.15650000000000003,-0.2284,-0.5105
470,0.514,0.495,0.7476,0.3403,-0.019000000000000017,0.25260000000000005,-0.40730000000000005,-0.17370000000000002
471,0.3432,-0.021,-0.1463,0.0128,-0.3642,-0.12530000000000002,0.15910000000000002,-0.3304
472,0.8093,0.4358,0.6284,0.221,-0.3735,0.19259999999999994,-0.4074,-0.5883
473,0.5918,0.1398,0.1255,0.0467,-0.45199999999999996,-0.014300000000000007,-0.07880000000000001,-0.5451
474,0.6806,0.2132,0.5413,0.206,-0.4674,0.3281,-0.33530000000000004,-0.4746
475,0.4199,0.1527,0.6664,0.2152,-0.2672,0.5137,-0.4512,-0.2047
476,0.7237,0.0829,0.3802,0.1666,-0.6408,0.2973,-0.21359999999999998,-0.5571
477,0.7656,0.1146,0.5054,0.2703,-0.6509999999999999,0.3908,-0.23509999999999998,-0.49529999999999996
