cell_id,center_lat,center_lon
810,12.8125,77.3585
811,12.8125,77.3675
812,12.8125,77.3765
813,12.8125,77.3855
814,12.8125,77.3945
815,12.8125,77.4035
816,12.8125,77.4125
817,12.8125,77.4215
818,12.8125,77.4305
819,12.8125,77.4395
820,12.8125,77.4485
821,12.8125,77.4575
822,12.8125,77.4665
823,12.8125,77.4755
824,12.8125,77.4845
825,12.8125,77.4935
826,12.8125,77.5025
827,12.8125,77.5115
828,12.8125,77.5205
829,12.8125,77.5295
830,12.8125,77.5385
831,12.8125,77.5475
832,12.8125,77.5565
833,12.8125,77.5655
834,12.8125,77.5745
835,12.8125,77.5835
836,12.8125,77.5925
837,12.8125,77.6015
838,12.8125,77.6105
839,12.8125,77.6195
840,12.8125,77.6285
841,12.8125,77.6375
842,12.8125,77.6465
843,12.8125,77.6555
844,12.8125,77.6645
845,12.8125,77.6735
846,12.8125,77.6825
847,12.8125,77.6915
848,12.8125,77.7005
849,12.8125,77.7095
850,12.8125,77.7185
851,12.8125,77.7275
852,12.8125,77.7365
853,12.8125,77.7455
854,12.8125,77.7545
855,12.8125,77.7635
856,12.8125,77.7725
857,12.8125,77.7815
858,12.8125,77.7905
859,12.8125,77.7995
860,12.8125,77.8085
861,12.8125,77.8175
862,12.8125,77.8265
863,12.8125,77.8355
864,12.8125,77.8445
865,12.8125,77.8535
866,12.8125,77.8625
867,12.8125,77.8715
868,12.8125,77.8805
869,12.8125,77.8895
870,12.8125,77.8985
871,12.8215,77.3045
872,12.8215,77.3135
873,12.8215,77.3225
874,12.8215,77.3315
875,12.8215,77.3405
876,12.8215,77.3495
877,12.8215,77.3585
878,12.8215,77.3675
879,12.8215,77.3765
880,12.8215,77.3855
881,12.8215,77.3945
882,12.8215,77.4035
883,12.8215,77.4125
884,12.8215,77.4215
885,12.8215,77.4305
886,12.8215,77.4395
887,12.8215,77.4485
888,12.8215,77.4575
889,12.8215,77.4665
890,12.8215,77.4755
891,12.8215,77.4845
892,12.8215,77.4935
893,12.8215,77.5025
894,12.8215,77.5115
895,12.8215,77.5205
896,12.8215,77.5295
897,12.8215,77.5385
898,12.8215,77.5475
899,12.8215,77.5565
900,12.8215,77.5655
901,12.8215,77.5745
902,12.8215,77.5835
903,12.8215,77.5925
904,12.8215,77.6015
905,12.8215,77.6105
906,12.8215,77.6195
907,12.8215,77.6285
908,12.8215,77.6375
909,12.8215,77.6465
910,12.8215,77.6555
911,12.8215,77.6645
912,12.8215,77.6735
913,12.8215,77.6825
914,12.8215,77.6915
915,12.8215,77.7005
916,12.8215,77.7095
917,12.8215,77.7185
918,12.8215,77.7275
919,12.8215,77.7365
920,12.8215,77.7455
921,12.8215,77.7545
922,12.8215,77.7635
923,12.8215,77.7725
