cell_id,road_length_km,building_count
405,25.3577,0
406,7.3056,0
407,6.5969,0
408,3.4001,0
409,12.0389,0
410,11.2454,0
411,5.5434,0
412,10.8212,0
413,15.13,0
414,9.8587,0
415,3.4002,0
416,0.0,0
417,6.3024,0
418,7.1089,0
419,6.7772,0
420,12.3915,0
421,11.5202,0
422,21.2286,0
423,11.2679,0
424,8.1181,0
425,7.07,0
426,10.5332,0
427,11.1415,0
428,0.0,0
429,0.0,0
430,0.0,0
431,0.0,0
432,12.0381,0
433,12.0381,0
434,0.0,0
435,12.0971,0
436,8.684,0
437,34.122,1
438,8.8057,1
439,13.5245,1
440,14.6823,0
441,15.8381,0
442,21.4006,0
443,10.6033,7
444,28.0583,0
445,24.9164,1
446,15.9168,24
447,15.0453,2
448,7.7236,1
449,9.0516,0
450,7.5183,0
451,16.4343,0
452,9.9571,0
453,7.0503,5
454,11.5013,0
455,9.8078,0
456,20.6955,2
457,17.2302,3
458,21.0489,1
459,28.7496,0
460,41.2037,1
461,30.1735,0
462,16.0705,0
463,17.3646,0
464,7.9945,0
465,9.6291,0
466,12.8204,0
467,16.1191,0
468,6.4362,1
469,8.4601,0
470,7.4981,0
471,15.3077,0
472,29.5179,3
473,32.074,0
474,28.0626,0
475,13.741,0
476,13.5295,0
477,10.6611,0
478,4.8396,0
479,10.4571,0
480,10.2933,0
481,16.0987,20
482,2.3962,4
483,4.5151,1
484,11.1699,0
485,2.9026,0
486,0.8235,0
487,6.0756,0
488,1.9748,0
489,15.7916,0
490,9.9537,0
491,10.9828,0
492,14.9878,0
493,7.445,0
494,21.4729,0
495,3.9222,0
496,3.1849,0
497,0.0,0
498,0.0,0
499,0.0,0
500,12.0381,0
501,0.0,0
502,10.7828,0
503,11.8826,0
504,28.6703,3
505,26.915,2
506,10.8181,6
507,30.7902,21
508,27.1172,1
509,22.9907,0
510,39.1214,0
511,58.6157,0
512,35.416,0
513,11.5795,37
514,14.4693,16
515,10.0961,2
516,19.0069,6
517,14.079,0
518,15.1489,0
519,16.0035,0
520,9.4235,0
521,22.1231,0
522,13.9748,4
523,32.0187,12
524,15.1787,0
525,27.4935,0
526,12.8942,0
527,16.4,0
528,32.0108,19
529,5.4673,0
530,7.0783,0
531,7.7562,0
532,11.0287,0
533,16.37,0
534,7.046,0
535,7.4073,0
536,3.4343,0
537,12.7395,0
538,8.1221,0
539,13.2749,0
540,3.6492,0
541,13.6212,0
542,24.289,1
543,28.3962,1
544,24.1601,1
545,4.9334,0
546,17.2219,0
547,20.9724,0
548,16.2535,27
549,9.777,20
550,4.5151,3
551,11.2709,31
552,3.6341,0
553,3.1193,0
554,5.0555,0
555,3.5125,0
556,17.1041,0
557,22.0505,0
558,29.4767,0
559,14.495,0
560,9.928,0
561,25.0128,1
562,4.471,0
563,1.2094,0
564,0.0,0
565,0.0,0
566,0.0,0
567,12.0381,0
568,0.0,0
569,7.4684,0
570,15.5446,0
571,25.5775,0
572,9.1277,16
573,20.0315,20
574,25.9064,71
575,6.3934,4
576,9.7858,0
577,37.6248,1
578,49.2006,0
579,43.9836,1
580,16.731,149
581,3.8033,75
582,36.8169,0
583,23.836,6
584,11.8587,19
585,9.3643,47
586,16.8463,4
587,41.4235,20
588,51.5554,10
589,25.669,3
590,24.2467,1
591,41.3436,1
592,27.8072,0
593,10.9743,0
594,11.6666,0
595,17.1151,0
596,12.5591,34
597,7.919,7
598,11.1773,3
599,6.6225,3
600,6.3052,0
601,3.0644,0
602,5.4975,0
603,12.2723,0
604,17.8504,0
605,12.1356,0
606,13.4107,0
