cell_id,center_lat,center_lon,ndvi_2018,ndvi_2021,ndvi_2024,ndvi_change_2015_2018,ndvi_change_2018_2021,ndvi_change_2021_2024,ndvi_total_change,ndvi_mean,ndvi_std,ndvi_accel,fragmentation_index,road_length_km,building_count,infra_pressure,urban_proximity_score,dist_to_cbd_km,rainfall_anomaly,rainfall_stress,gbif_observations,gbif_species_count,biodiversity_density,lag_stress_score,ecological_vulnerability_score,degradation_label
38,12.7045,77.6465,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,9.4242,0,0.0584,0.032076,30.176,56.040899653979245,0,0.0,0.0,0.0,0.1082,0.181,stable
39,12.7045,77.6555,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,6.0021,0,0.0372,0.031875,30.3726,56.040899653979245,0,0.0,0.0,0.0,0.0997,0.1756,stable
40,12.7045,77.6645,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,6.8697,0,0.0426,0.031647,30.599,50.980000000000246,0,21.0,20.0,1.05,0.1019,0.1769,stable
41,12.7045,77.6735,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,4.4416,0,0.0275,0.031393,30.8545,56.040899653979245,0,0.0,0.0,0.0,0.0959,0.1731,stable
42,12.7045,77.6825,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,12.4264,0,0.077,0.031115,31.1384,56.040899653979245,0,0.0,0.0,0.0,0.1157,0.1854,stable
43,12.7045,77.6915,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,20.2747,1,0.1257,0.030817,31.45,56.040899653979245,0,0.0,0.0,0.0,0.1352,0.1975,at_risk
44,12.7045,77.7005,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,46.3421,2,0.2874,0.030499,31.7884,56.040899653979245,0,0.0,0.0,0.0,0.1998,0.2379,at_risk
45,12.7045,77.7095,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,20.8332,0,0.1291,0.030163,32.1528,50.980000000000246,0,0.0,0.0,0.0,0.1365,0.1982,at_risk
46,12.7045,77.7185,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,7.7771,2,0.0484,0.029813,32.5423,56.040899653979245,0,0.0,0.0,0.0,0.1042,0.178,stable
47,12.7045,77.7275,0.2576,0.4007,0.21565,-0.2829,0.0907,-0.17949999999999994,-0.33114999999999994,0.29131666666666667,0.09702312009687863,-0.27019999999999994,0.333,7.3524,0,0.0456,0.02945,32.9561,56.040899653979245,0,0.0,0.0,0.0,0.1031,0.1772,stable
